entity_id,name,slug,primary_category,editorial_priority,score,tier,source_count,fact_count,last_verified,research_priority,missing_criteria
"ent_open_batch","Open Batch","open-batch","Executive Communities","B","35","basic","1","8","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_paygentic","Paygentic","paygentic","CFO Technology","B","35","basic","1","6","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_pulley","Pulley","pulley","Equity Management","B","35","basic","1","8","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_qognitive","Qognitive","qognitive","Artificial Intelligence","B","35","basic","1","8","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_resemble_ai","Resemble AI","resemble-ai","Artificial Intelligence","B","35","basic","1","8","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_rho","Rho","rho","Banking Platforms","B","35","basic","1","8","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_sharevault","ShareVault","sharevault","Private Market Infrastructure","B","35","basic","1","8","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_signeasy","Signeasy","signeasy","Legal Technology","B","35","basic","1","9","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_stripe","Stripe","stripe","Payments","B","35","basic","1","9","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_transform","Transform","transform","Executive Communities","B","35","basic","1","8","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_zeni","Zeni","zeni","CFO Technology","B","35","basic","1","8","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_thinkingai","ThinkingAI","thinkingai","Artificial Intelligence","B","40","developing","1","11","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth"
"ent_indian_hills_advisors","Indian Hills Advisors","indian-hills-advisors","M&A Advisors","A","45","developing","3","9","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|fact_depth"
"ent_aegisai","AegisAI","aegisai","Email Security","B","50","developing","2","27","2026-08-11","P1","founded_year|headquarters|operating_geography|industries|semantic_profile|source_breadth"
"ent_xero","Xero","xero","Accounting Software","B","50","developing","2","66","2026-08-11","P1","founded_year|headquarters|operating_geography|industries|semantic_profile|source_breadth"
"ent_contextqa","ContextQA","contextqa","Artificial Intelligence","B","55","developing","2","16","2026-08-11","P1","founded_year|headquarters|operating_geography|semantic_profile|source_breadth"
"ent_compose_ai","Compose AI","compose-ai","Artificial Intelligence","B","65","substantial","1","16","2026-08-11","P1","founded_year|headquarters|operating_geography|source_breadth"
"ent_counterrun_ai","CounterRun.ai","counterrun-ai","AI Security","B","65","substantial","2","12","2026-08-11","P1","founded_year|headquarters|operating_geography|source_breadth"
"ent_finrep","Finrep","finrep","CFO Technology","B","65","substantial","3","19","2026-08-11","P1","founded_year|headquarters|operating_geography|semantic_profile"
"ent_harden","Harden","harden","AI Security","A","65","substantial","1","23","2026-08-11","P1","founded_year|headquarters|operating_geography|source_breadth"
"ent_northwestern_mutual","Northwestern Mutual","northwestern-mutual","Insurance","B","65","substantial","3","9","2026-08-11","P1","operating_geography|offerings|industries|semantic_profile|fact_depth"
"ent_optimhire","OptimHire","optimhire","Recruiting","B","65","substantial","3","19","2026-08-11","P1","founded_year|headquarters|operating_geography|semantic_profile"
"ent_verano_capital_partners","Verano Capital Partners","verano-capital-partners","Investment Advisory","B","65","substantial","4","15","2026-08-11","P1","founded_year|headquarters|operating_geography|semantic_profile"
"ent_pier_70_ventures","Pier 70 Ventures","pier-70-ventures","Venture Capital","B","70","substantial","3","19","2026-08-11","P1","founded_year|headquarters|semantic_profile"
"ent_secure_octane_investments","Secure Octane Investments","secure-octane-investments","Venture Capital","B","70","substantial","4","17","2026-08-11","P1","founded_year|headquarters|semantic_profile"
"ent_adaptive_security","Adaptive Security","adaptive-security","AI Security","A","75","substantial","3","15","2026-08-11","P1","founded_year|headquarters|operating_geography"
"ent_airmdr","AirMDR","airmdr","Cybersecurity","A","75","substantial","4","16","2026-08-11","P1","founded_year|headquarters|operating_geography"
"ent_axari_technologies_inc","Axari Technologies, Inc.","axari-technologies-inc","Cybersecurity","A","75","substantial","3","20","2026-08-11","P1","founded_year|headquarters|operating_geography"
"ent_brighttower","BrightTower","brighttower","Investment Banks","A","75","substantial","3","16","2026-08-11","P1","founded_year|headquarters|operating_geography"
"ent_burkland","Burkland","burkland","Finance Advisory","A","75","substantial","3","18","2026-08-11","P1","founded_year|headquarters|operating_geography"
"ent_next47","Next47","next47","Venture Capital","A","75","substantial","3","18","2026-08-11","P1","founded_year|headquarters|operating_geography"
"ent_one_way_ventures","One Way Ventures","one-way-ventures","Venture Capital","A","75","substantial","3","16","2026-08-11","P1","founded_year|headquarters|operating_geography"
"ent_rippling","Rippling","rippling","HR Technology","A","75","substantial","5","25","2026-08-11","P1","founded_year|headquarters|industries"
"ent_westcap","WestCap","westcap","Growth Equity","A","75","substantial","3","18","2026-08-11","P1","founded_year|headquarters|operating_geography"
"ent_western_technology_investment","Western Technology Investment","western-technology-investment","Private Credit","A","75","substantial","3","20","2026-08-11","P1","founded_year|headquarters|operating_geography"
"ent_zenskar","Zenskar","zenskar","CFO Technology","A","75","substantial","3","19","2026-08-11","P1","founded_year|headquarters|operating_geography"
"ent_bain","Bain & Company","bain-company","Consulting","","25","basic","1","1","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_bank_of_america","Bank of America","bank-of-america","Banks","","25","basic","1","1","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_blackstone","Blackstone","blackstone","Private Equity","","25","basic","1","1","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_bcg","Boston Consulting Group","boston-consulting-group","Consulting","","25","basic","1","1","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_citi","Citi","citi","Banks","","25","basic","1","1","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_evercore","Evercore","evercore","Investment Banks","","25","basic","1","1","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_ey","EY","ey","Accounting","","25","basic","1","1","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_heidrick_struggles","Heidrick & Struggles","heidrick-struggles","Executive Search","","25","basic","1","1","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_houlihan_lokey","Houlihan Lokey","houlihan-lokey","Investment Banks","","25","basic","1","1","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_hsbc","HSBC","hsbc","Banks","","25","basic","1","1","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_kpmg","KPMG","kpmg","Accounting","","25","basic","1","1","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_latham_watkins","Latham & Watkins","latham-watkins","Law Firms","","25","basic","1","1","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_lazard","Lazard","lazard","Investment Banks","","25","basic","1","1","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_mckinsey","McKinsey & Company","mckinsey-company","Consulting","","25","basic","1","1","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_pwc","PwC","pwc","Accounting","","25","basic","1","1","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_accel","Accel","accel","Venture Capital","","30","basic","1","6","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|source_breadth|fact_depth"
"ent_andreessen_horowitz","Andreessen Horowitz","andreessen-horowitz","Venture Capital","","30","basic","1","6","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|source_breadth|fact_depth"
"ent_kkr","KKR","kkr","Private Equity","","30","basic","1","5","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|source_breadth|fact_depth"
"ent_lightspeed","Lightspeed Venture Partners","lightspeed-venture-partners","Venture Capital","","30","basic","1","6","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|source_breadth|fact_depth"
"ent_silver_lake","Silver Lake","silver-lake","Private Equity","","30","basic","1","4","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|offerings|source_breadth|fact_depth"
"ent_adobe","Adobe","adobe","Enterprise Technology","","35","basic","1","4","2026-08-11","P2","classification|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_agentweb","AgentWeb","agentweb","Marketing Technology","C","35","basic","1","9","2026-08-11","P2","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_anaplan","Anaplan","anaplan","Enterprise Technology","","35","basic","1","3","2026-08-11","P2","classification|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_code_conductor","Code Conductor","code-conductor","Artificial Intelligence","C","35","basic","1","8","2026-08-11","P2","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_crowdstrike","CrowdStrike","crowdstrike","Cybersecurity","","35","basic","1","4","2026-08-11","P2","classification|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_curated_connections","Curated Connections","curated-connections","Community Technology","C","35","basic","1","8","2026-08-11","P2","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_deloitte","Deloitte","deloitte","Accounting","","35","basic","1","6","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|industries|source_breadth|fact_depth"
"ent_everything_ai","Everything AI","everything-ai","Artificial Intelligence","C","35","basic","1","8","2026-08-11","P2","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_hacker_dojo","Hacker Dojo","hacker-dojo","Executive Communities","C","35","basic","1","6","2026-08-11","P2","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_harvard_business_school_exec_ed","Harvard Business School Executive Education","harvard-business-school-executive-education","Executive Education","","35","basic","1","3","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|industries|source_breadth|fact_depth"
"ent_hubspot","HubSpot","hubspot","Enterprise Technology","","35","basic","1","4","2026-08-11","P2","classification|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_jpmorgan","JPMorgan Chase","jpmorgan-chase","Banks","","35","basic","1","6","2026-08-11","P2","classification|executive_relevance|founded_year|headquarters|operating_geography|industries|source_breadth|fact_depth"
"ent_mit_sloan_executive_education","MIT Sloan Executive Education","mit-sloan-executive-education","Executive Education","","35","basic","1","9","2026-08-11","P2","classification|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_openwater","OpenWater","openwater","Events Technology","C","35","basic","1","7","2026-08-11","P2","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_oracle","Oracle","oracle","Enterprise Technology","","35","basic","1","5","2026-08-11","P2","classification|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_pavilion","Pavilion","pavilion","Executive Communities","","35","basic","1","4","2026-08-11","P2","classification|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_salesforce","Salesforce","salesforce","Enterprise Technology","","35","basic","1","5","2026-08-11","P2","classification|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_sap","SAP","sap","Enterprise Technology","","35","basic","1","6","2026-08-11","P2","classification|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_vistage","Vistage","vistage","Executive Communities","","35","basic","1","2","2026-08-11","P2","classification|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_wiz","Wiz","wiz","Cybersecurity","","35","basic","1","4","2026-08-11","P2","classification|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_xtrace","XTrace","xtrace","AI Infrastructure","C","35","basic","1","8","2026-08-11","P2","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_zscaler","Zscaler","zscaler","Cybersecurity","","35","basic","1","4","2026-08-11","P2","classification|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_velixar_ai","Velixar AI","velixar-ai","AI Infrastructure","C","40","developing","1","11","2026-08-11","P2","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth"
"ent_pipe","Pipe","pipe","Fintech","B","70","substantial","2","20","2026-08-11","P2","headquarters|semantic_profile|source_breadth"
"ent_applitools","Applitools","applitools","Enterprise Technology","B","75","substantial","3","17","2026-08-11","P2","headquarters|operating_geography|semantic_profile"
"ent_atlas_cloud_ai","Atlas Cloud AI","atlas-cloud-ai","AI Infrastructure","B","75","substantial","4","22","2026-08-11","P2","founded_year|operating_geography|semantic_profile"
"ent_hackzero_ai","HackZero.ai","hackzero-ai","Cybersecurity","B","75","substantial","3","19","2026-08-11","P2","founded_year|operating_geography|semantic_profile"
"ent_hg_insights","HG Insights","hg-insights","Research Firms","B","75","substantial","4","22","2026-08-11","P2","founded_year|operating_geography|semantic_profile"
"ent_hiive","Hiive","hiive","Private Market Infrastructure","B","75","substantial","5","17","2026-08-11","P2","founded_year|headquarters|operating_geography"
"ent_payzen","PayZen","payzen","Fintech","B","75","substantial","4","18","2026-08-11","P2","founded_year|headquarters|operating_geography"
"ent_stanford_executive_education","Stanford Graduate School of Business Executive Education","stanford-gsb-executive-education","Executive Education","","35","basic","1","9","2026-08-11","P3","classification|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_wharton_executive_education","Wharton Executive Education","wharton-executive-education","Executive Education","","35","basic","1","9","2026-08-11","P3","classification|founded_year|headquarters|operating_geography|offerings|industries|source_breadth|fact_depth"
"ent_capital_one","Capital One","capital-one","Banks","","40","developing","1","11","2026-08-11","P3","executive_relevance|founded_year|headquarters|offerings|semantic_profile|source_breadth"
"ent_russell_reynolds_associates","Russell Reynolds Associates","russell-reynolds-associates","Executive Search","","40","developing","2","20","2026-08-11","P3","classification|executive_relevance|founded_year|headquarters|operating_geography|industries|source_breadth"
"ent_sequoia_capital","Sequoia Capital","sequoia-capital","Venture Capital","","40","developing","1","7","2026-08-11","P3","classification|executive_relevance|founded_year|headquarters|operating_geography|source_breadth|fact_depth"
"ent_thoma_bravo","Thoma Bravo","thoma-bravo","Private Equity","","40","developing","1","5","2026-08-11","P3","classification|executive_relevance|founded_year|headquarters|operating_geography|source_breadth|fact_depth"
"ent_young_presidents_organization","YPO","ypo","Executive Communities","","40","developing","2","5","2026-08-11","P3","classification|executive_relevance|headquarters|offerings|industries|source_breadth|fact_depth"
"ent_cooley","Cooley","cooley","Law Firms","","45","developing","2","23","2026-08-11","P3","classification|executive_relevance|founded_year|headquarters|operating_geography|source_breadth"
"ent_palo_alto_networks","Palo Alto Networks","palo-alto-networks","Cybersecurity","","45","developing","1","8","2026-08-11","P3","classification|founded_year|headquarters|operating_geography|industries|source_breadth|fact_depth"
"ent_chief","Chief","chief","Executive Communities","","50","developing","3","28","2026-08-11","P3","classification|executive_relevance|founded_year|headquarters|operating_geography|industries"
"ent_entrepreneurs_organization","Entrepreneurs' Organization","entrepreneurs-organization","Executive Communities","","50","developing","2","20","2026-08-11","P3","classification|founded_year|headquarters|operating_geography|industries|source_breadth"
"ent_korn_ferry","Korn Ferry","korn-ferry","Executive Search","","50","developing","2","26","2026-08-11","P3","classification|founded_year|headquarters|operating_geography|industries|source_breadth"
"ent_spencer_stuart","Spencer Stuart","spencer-stuart","Executive Search","","50","developing","2","33","2026-08-11","P3","classification|founded_year|headquarters|operating_geography|industries|source_breadth"
"ent_wilson_sonsini","Wilson Sonsini Goodrich & Rosati","wilson-sonsini","Law Firms","","50","developing","2","34","2026-08-11","P3","classification|executive_relevance|founded_year|headquarters|source_breadth"
"ent_fenwick_west","Fenwick & West","fenwick-west","Law Firms","","55","developing","3","21","2026-08-11","P3","classification|executive_relevance|founded_year|headquarters|operating_geography"
"ent_workday","Workday","workday","Enterprise Technology","","55","developing","3","7","2026-08-11","P3","classification|founded_year|headquarters|operating_geography|industries|fact_depth"
"ent_agentic_fabriq","Agentic Fabriq","agentic-fabriq","AI Security","A","80","decision-ready","3","41","2026-08-11","Maintain","operating_geography|industries|semantic_profile"
"ent_altair_capital","AltaIR Capital","altair-capital","Venture Capital","A","80","decision-ready","3","26","2026-08-11","Maintain","founded_year|headquarters"
"ent_armanino","Armanino","armanino","Accounting","A","80","decision-ready","3","26","2026-08-11","Maintain","founded_year|headquarters"
"ent_bill","BILL","bill","CFO Technology","A","80","decision-ready","7","70","2026-08-11","Maintain","founded_year|operating_geography|industries"
"ent_brex","Brex","brex","CFO Technology","A","80","decision-ready","2","44","2026-08-11","Maintain","operating_geography|industries|source_breadth"
"ent_capgemini","Capgemini","capgemini","Consulting","A","80","decision-ready","3","31","2026-08-11","Maintain","founded_year|headquarters"
"ent_dla_piper","DLA Piper","dla-piper","Law Firms","A","80","decision-ready","4","24","2026-08-11","Maintain","founded_year|headquarters"
"ent_foley_lardner","Foley & Lardner","foley-lardner","Law Firms","A","80","decision-ready","3","22","2026-08-11","Maintain","founded_year|headquarters"
"ent_plaid","Plaid","plaid","Fintech","A","80","decision-ready","3","27","2026-08-11","Maintain","founded_year|headquarters"
"ent_protiviti","Protiviti","protiviti","Consulting","A","80","decision-ready","3","28","2026-08-11","Maintain","founded_year|headquarters"
"ent_puzzle","Puzzle","puzzle","CFO Technology","A","80","decision-ready","3","57","2026-08-11","Maintain","founded_year|headquarters"
"ent_rillet","Rillet","rillet","CFO Technology","A","80","decision-ready","3","72","2026-08-11","Maintain","founded_year|headquarters"
"ent_servicenow","ServiceNow","servicenow","Enterprise Technology","A","80","decision-ready","4","31","2026-08-11","Maintain","founded_year|headquarters"
"ent_tenet_security","Tenet Security","tenet-security","AI Security","A","80","decision-ready","3","34","2026-08-11","Maintain","founded_year|headquarters"
"ent_witnessai","WitnessAI","witnessai","AI Security","A","80","decision-ready","4","19","2026-08-11","Maintain","founded_year|operating_geography|industries"
"ent_young_entrepreneur_council","Young Entrepreneur Council","young-entrepreneur-council","Executive Communities","A","80","decision-ready","4","17","2026-08-11","Maintain","founded_year|headquarters"
"ent_15five","15Five","15five","HR Technology","A","85","decision-ready","5","16","2026-08-11","Maintain","headquarters|industries"
"ent_anrok","Anrok","anrok","CFO Technology","A","85","decision-ready","5","18","2026-08-11","Maintain","headquarters|industries"
"ent_centific","Centific","centific","Artificial Intelligence","A","85","decision-ready","4","21","2026-08-11","Maintain","founded_year|industries"
"ent_frank_rimerman_co","Frank, Rimerman + Co.","frank-rimerman-co","Accounting","A","85","decision-ready","4","20","2026-08-11","Maintain","headquarters|operating_geography"
"ent_glean","Glean","glean","Artificial Intelligence","A","85","decision-ready","4","21","2026-08-11","Maintain","founded_year|industries"
"ent_hfs_research","HFS Research","hfs-research","Research Firms","A","85","decision-ready","4","19","2026-08-11","Maintain","headquarters|operating_geography"
"ent_lattice","Lattice","lattice","HR Technology","A","85","decision-ready","4","18","2026-08-11","Maintain","founded_year|industries"
"ent_tesorio","Tesorio","tesorio","CFO Technology","A","85","decision-ready","4","19","2026-08-11","Maintain","headquarters|operating_geography"
"ent_vic_ai","Vic.ai","vic-ai","CFO Technology","A","85","decision-ready","5","21","2026-08-11","Maintain","headquarters|operating_geography"
"ent_you_com","You.com","you-com","Artificial Intelligence","A","85","decision-ready","4","21","2026-08-11","Maintain","headquarters|operating_geography"
"ent_909cyber","909Cyber","909cyber","Cybersecurity","B","90","decision-ready","5","23","2026-08-11","Maintain","founded_year"
"ent_affirm","Affirm","affirm","Fintech","B","90","decision-ready","4","22","2026-08-11","Maintain","founded_year"
"ent_association_for_corporate_growth","Association for Corporate Growth","association-for-corporate-growth","Professional Associations","A","90","decision-ready","3","22","2026-08-11","Maintain","headquarters"
"ent_citizens_private_bank","Citizens Private Bank","citizens-private-bank","Banks","A","90","decision-ready","4","21","2026-08-11","Maintain","founded_year"
"ent_cognizant","Cognizant","cognizant","Consulting","A","90","decision-ready","3","29","2026-08-11","Maintain","headquarters"
"ent_coupa","Coupa","coupa","CFO Technology","A","90","decision-ready","4","30","2026-08-11","Maintain","founded_year"
"ent_deel","Deel","deel","HR Technology","A","90","decision-ready","4","25","2026-08-11","Maintain","headquarters"
"ent_escalon","Escalon","escalon","Finance Advisory","A","90","decision-ready","3","22","2026-08-11","Maintain","headquarters"
"ent_findem","Findem","findem","HR Technology","A","90","decision-ready","5","21","2026-08-11","Maintain","founded_year"
"ent_ghj","GHJ","ghj","Accounting","A","90","decision-ready","5","24","2026-08-11","Maintain","founded_year"
"ent_oguz_law","Oguz Law","oguz-law","Law Firms","B","90","decision-ready","4","19","2026-08-11","Maintain","founded_year"
"ent_open_future_forum","Open Future Forum","open-future-forum","Executive Communities","","90","decision-ready","4","50","2026-08-11","Maintain","headquarters"
"ent_ramp","Ramp","ramp","CFO Technology","A","90","decision-ready","4","23","2026-08-11","Maintain","operating_geography|industries"
"ent_transacta_capital","Transacta Capital","transacta-capital","M&A Advisors","B","90","decision-ready","4","21","2026-08-11","Maintain","founded_year"
"ent_trinet","TriNet","trinet","HR Technology","A","90","decision-ready","4","24","2026-08-11","Maintain","headquarters"
"ent_zrg","ZRG","zrg","Executive Search","A","90","decision-ready","3","62","2026-08-11","Maintain","founded_year"
"ent_bmo","BMO","bmo","Banks","A","95","decision-ready","3","34","2026-08-11","Maintain","operating_geography"
"ent_comerica","Comerica","comerica","Banks","A","95","decision-ready","3","44","2026-08-11","Maintain","operating_geography"
"ent_databricks","Databricks","databricks","Enterprise Technology","A","95","decision-ready","5","22","2026-08-11","Maintain","industries"
"ent_intel","Intel","intel","Enterprise Technology","A","95","decision-ready","5","21","2026-08-11","Maintain","operating_geography"
"ent_lockton","Lockton","lockton","Insurance","A","95","decision-ready","5","21","2026-08-11","Maintain","operating_geography"
"ent_nvidia","NVIDIA","nvidia","AI Infrastructure","A","95","decision-ready","8","22","2026-08-11","Maintain","operating_geography"
"ent_orrick","Orrick","orrick","Law Firms","A","95","decision-ready","3","54","2026-08-11","Maintain","operating_geography"
"ent_robert_half","Robert Half","robert-half","Recruiting","A","95","decision-ready","5","21","2026-08-11","Maintain","operating_geography"
"ent_scale_ai","Scale AI","scale-ai","Artificial Intelligence","A","95","decision-ready","4","24","2026-08-11","Maintain","operating_geography"
"ent_wells_fargo","Wells Fargo","wells-fargo","Banks","A","95","decision-ready","5","23","2026-08-11","Maintain","operating_geography"
"ent_avenue_capital_group","Avenue Capital Group","avenue-capital-group","Private Credit","A","100","decision-ready","3","22","2026-08-11","Maintain",""
"ent_bdev_ventures","BDEV Ventures","bdev-ventures","Venture Capital","B","100","decision-ready","4","21","2026-08-11","Maintain",""
"ent_blackline","BlackLine","blackline","CFO Technology","A","100","decision-ready","3","64","2026-08-11","Maintain",""
"ent_bny","BNY","bny","Banks","A","100","decision-ready","4","26","2026-08-11","Maintain",""
"ent_carta","Carta","carta","Equity Management","A","100","decision-ready","3","28","2026-08-11","Maintain",""
"ent_cfgi","CFGI","cfgi","Accounting","A","100","decision-ready","5","30","2026-08-11","Maintain",""
"ent_danforth_advisors","Danforth Advisors","danforth-advisors","Finance Advisory","A","100","decision-ready","5","22","2026-08-11","Maintain",""
"ent_deutsche_bank","Deutsche Bank","deutsche-bank","Banks","A","100","decision-ready","4","26","2026-08-11","Maintain",""
"ent_first_citizens_bank","First Citizens Bank","first-citizens-bank","Banks","A","100","decision-ready","3","25","2026-08-11","Maintain",""
"ent_heffernan_insurance_brokers","Heffernan Insurance Brokers","heffernan-insurance-brokers","Insurance","A","100","decision-ready","5","22","2026-08-11","Maintain",""
